$FOO $BAR $BAZ $TIME 
bar 1 true 2025-07-09T22:54:17Z 
bar 1 true 2025-07-09T22:58:20Z 
bar 1 true 2025-07-09T23:00:04Z 
bar 1 true 2025-07-09T23:01:27Z 
bar 1 true 2025-07-09T23:02:00Z 
bar 1 true 2025-07-09T23:02:10Z 
bar 1 true 2025-07-09T23:02:21Z 
bar 1 true 2025-07-09T23:02:45Z 
bar 1 true 2025-07-09T23:02:58Z 
bar 1 true 2025-07-09T23:03:17Z 
bar 1 true 2025-07-09T23:03:35Z 
bar 1 true 2025-07-09T23:03:41Z 
bar 1 true 2025-07-09T23:03:56Z 
bar 1 true 2025-07-09T23:04:14Z 
bar 1 true 2025-07-09T23:04:24Z 
